indicator,topic,source
"Personally paid for agriculture insurance, income quintiles III, IV, and V (highest) (% who work in farming/fishing/forestry, age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, income quintiles III, IV, and V (highest) (% who work in farming/fishing/forestry, age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, male (% who work in farming/fishing/forestry, age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, male (% who work in farming/fishing/forestry, age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, older adults (% who work in farming/fishing/forestry, age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, older adults (% who work in farming/fishing/forestry, age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, primary education or less (% who work in farming/fishing/forestry, age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, primary education or less (% who work in farming/fishing/forestry, age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, rural (% who work in farming/fishing/forestry, age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, rural (% who work in farming/fishing/forestry, age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, secondary education or more (% who work in farming/fishing/forestry, age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, secondary education or more (% who work in farming/fishing/forestry, age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, urban (% who work in farming/fishing/forestry, age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, urban (% who work in farming/fishing/forestry, age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, young adults (% who work in farming/fishing/forestry, age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for agriculture insurance, young adults (% who work in farming/fishing/forestry, age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
Personally paid for health insurance (% age 15+),Financial Sector,Global Findex ( Global Financial Inclusion database)
Personally paid for health insurance (% age 15+),Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, female (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, female (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, income quintiles I (lowest) and II (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, income quintiles I (lowest) and II (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, income quintiles III, IV, and V (highest) (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, income quintiles III, IV, and V (highest) (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, male (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, male (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, older adults (% age 25+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, older adults (% age 25+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, primary education or less (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, primary education or less (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, rural (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, rural (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, secondary education or more (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, secondary education or more (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, urban (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, urban (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, young adults (% ages 15-24)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Personally paid for health insurance, young adults (% ages 15-24)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
PFC gas emissions (thousand metric tons of CO2 equivalent),Environment,World Development Indicators
PFC gas emissions (thousand metric tons of CO2 equivalent),Environment ,World Development Indicators
"Physicians (per 1,000 people)",Climate Change,World Development Indicators
"Physicians (per 1,000 people)",Health,World Development Indicators
"Physicians (per 1,000 people)",Health ,World Development Indicators
PIRLS: Fourth grade students reaching the high international benchmark in reading achievement (%),Education,Education Statistics
PIRLS: Fourth grade students reaching the high international benchmark in reading achievement (%),Education ,Education Statistics
PIRLS: Fourth grade students reaching the intermediate international benchmark in reading achievement (%),Education,Education Statistics
PIRLS: Fourth grade students reaching the intermediate international benchmark in reading achievement (%),Education ,Education Statistics
PIRLS: Fourth grade students who did not reach the low international benchmark in reading achievement (%),Education,Education Statistics
PIRLS: Fourth grade students who did not reach the low international benchmark in reading achievement (%),Education ,Education Statistics
"PIRLS:Mean performance on the reading scale, female",Education,Education Statistics
"PIRLS:Mean performance on the reading scale, female",Education ,Education Statistics
"PIRLS:Mean performance on the reading scale, male",Education,Education Statistics
"PIRLS:Mean performance on the reading scale, male",Education ,Education Statistics
"PIRLS:Mean performance on the reading scale, total",Education,Education Statistics
"PIRLS:Mean performance on the reading scale, total",Education ,Education Statistics
PIRLS:Students reaching the advanced international benchmark in reading achievement (%),Education,Education Statistics
PIRLS:Students reaching the advanced international benchmark in reading achievement (%),Education ,Education Statistics
PIRLS:Students reaching the low international benchmark in reading achievement (%),Education,Education Statistics
PIRLS:Students reaching the low international benchmark in reading achievement (%),Education ,Education Statistics
PISA:Mean performance on the mathematics scale,Education,Education Statistics
PISA:Mean performance on the mathematics scale,Education ,Education Statistics
"PISA:Mean performance on the mathematics scale, female",Education,Education Statistics
"PISA:Mean performance on the mathematics scale, female",Education ,Education Statistics
"PISA:Mean performance on the mathematics scale, male",Education,Education Statistics
"PISA:Mean performance on the mathematics scale, male",Education ,Education Statistics
PISA:Mean performance on the reading scale,Education,Education Statistics
PISA:Mean performance on the reading scale,Education ,Education Statistics
"PISA:Mean performance on the reading scale, female",Education,Education Statistics
"PISA:Mean performance on the reading scale, female",Education ,Education Statistics
"PISA:Mean performance on the reading scale, male",Education,Education Statistics
"PISA:Mean performance on the reading scale, male",Education ,Education Statistics
PISA:Mean performance on the science scale,Education,Education Statistics
PISA:Mean performance on the science scale,Education ,Education Statistics
"PISA:Mean performance on the science scale, female",Education,Education Statistics
"PISA:Mean performance on the science scale, female",Education ,Education Statistics
"PISA:Mean performance on the science scale, male",Education,Education Statistics
"PISA:Mean performance on the science scale, male",Education ,Education Statistics
PISA:Students at the highest level of proficiency on the mathematics scale (%),Education,Education Statistics
PISA:Students at the highest level of proficiency on the mathematics scale (%),Education ,Education Statistics
"PISA:Students at the highest level of proficiency on the mathematics scale (%), female",Education,Education Statistics
"PISA:Students at the highest level of proficiency on the mathematics scale (%), female",Education ,Education Statistics
"PISA:Students at the highest level of proficiency on the mathematics scale (%), male",Education,Education Statistics
"PISA:Students at the highest level of proficiency on the mathematics scale (%), male",Education ,Education Statistics
PISA:Students at the highest level of proficiency on the reading scale (%),Education,Education Statistics
PISA:Students at the highest level of proficiency on the reading scale (%),Education ,Education Statistics
"PISA:Students at the highest level of proficiency on the reading scale (%), female",Education,Education Statistics
"PISA:Students at the highest level of proficiency on the reading scale (%), female",Education ,Education Statistics
"PISA:Students at the highest level of proficiency on the reading scale (%), male",Education,Education Statistics
"PISA:Students at the highest level of proficiency on the reading scale (%), male",Education ,Education Statistics
PISA:Students at the highest level of proficiency on the science scale (%),Education,Education Statistics
PISA:Students at the highest level of proficiency on the science scale (%),Education ,Education Statistics
"PISA:Students at the highest level of proficiency on the science scale (%), female",Education,Education Statistics
"PISA:Students at the highest level of proficiency on the science scale (%), female",Education ,Education Statistics
"PISA:Students at the highest level of proficiency on the science scale (%), male",Education,Education Statistics
"PISA:Students at the highest level of proficiency on the science scale (%), male",Education ,Education Statistics
PISA:Students at the lowest level of proficiency on the mathematics scale (%),Education,Education Statistics
PISA:Students at the lowest level of proficiency on the mathematics scale (%),Education ,Education Statistics
"PISA:Students at the lowest level of proficiency on the mathematics scale (%), female",Education,Education Statistics
"PISA:Students at the lowest level of proficiency on the mathematics scale (%), female",Education ,Education Statistics
"PISA:Students at the lowest level of proficiency on the mathematics scale (%), male",Education,Education Statistics
"PISA:Students at the lowest level of proficiency on the mathematics scale (%), male",Education ,Education Statistics
PISA:Students at the lowest level of proficiency on the reading scale (%),Education,Education Statistics
PISA:Students at the lowest level of proficiency on the reading scale (%),Education ,Education Statistics
"PISA:Students at the lowest level of proficiency on the reading scale (%), female",Education,Education Statistics
"PISA:Students at the lowest level of proficiency on the reading scale (%), female",Education ,Education Statistics
"PISA:Students at the lowest level of proficiency on the reading scale (%), male",Education,Education Statistics
"PISA:Students at the lowest level of proficiency on the reading scale (%), male",Education ,Education Statistics
PISA:Students at the lowest level of proficiency on the science scale (%),Education,Education Statistics
PISA:Students at the lowest level of proficiency on the science scale (%),Education ,Education Statistics
"PISA:Students at the lowest level of proficiency on the science scale (%), female",Education,Education Statistics
"PISA:Students at the lowest level of proficiency on the science scale (%), female",Education ,Education Statistics
"PISA:Students at the lowest level of proficiency on the science scale (%), male",Education,Education Statistics
"PISA:Students at the lowest level of proficiency on the science scale (%), male",Education ,Education Statistics
"Plant species (higher), threatened",Environment,World Development Indicators
"Plant species (higher), threatened",Environment ,World Development Indicators
"PM10, country level (micrograms per cubic meter)",Urban Development,World Development Indicators
"PM10, country level (micrograms per cubic meter)",Urban Development ,World Development Indicators
"PNG, bonds (AMT, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, bonds (AMT, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, bonds (AMT, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, bonds (AMT, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, bonds (AMT, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, bonds (AMT, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, bonds (DIS, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, bonds (DIS, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, bonds (DIS, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, bonds (DIS, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, bonds (DIS, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, bonds (DIS, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, bonds (DOD, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, bonds (DOD, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, bonds (DOD, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, bonds (DOD, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, bonds (DOD, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, bonds (DOD, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, bonds (INT, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, bonds (INT, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, bonds (INT, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, bonds (INT, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, bonds (INT, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, bonds (INT, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, bonds (NFL, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, bonds (NFL, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, bonds (NFL, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, bonds (NFL, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, bonds (NFL, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, bonds (NFL, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, bonds (NTR, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, bonds (NTR, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, bonds (NTR, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, bonds (NTR, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, bonds (NTR, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, bonds (NTR, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, bonds (TDS, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, bonds (TDS, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, bonds (TDS, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, bonds (TDS, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, bonds (TDS, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, bonds (TDS, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, commercial banks and other creditors (AMT, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, commercial banks and other creditors (AMT, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, commercial banks and other creditors (AMT, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, commercial banks and other creditors (AMT, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, commercial banks and other creditors (AMT, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, commercial banks and other creditors (AMT, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, commercial banks and other creditors (DIS, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, commercial banks and other creditors (DIS, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, commercial banks and other creditors (DIS, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, commercial banks and other creditors (DIS, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, commercial banks and other creditors (DIS, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, commercial banks and other creditors (DIS, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, commercial banks and other creditors (DOD, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, commercial banks and other creditors (DOD, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, commercial banks and other creditors (DOD, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, commercial banks and other creditors (DOD, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, commercial banks and other creditors (DOD, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, commercial banks and other creditors (DOD, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, commercial banks and other creditors (INT, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, commercial banks and other creditors (INT, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, commercial banks and other creditors (INT, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, commercial banks and other creditors (INT, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, commercial banks and other creditors (INT, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, commercial banks and other creditors (INT, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, commercial banks and other creditors (NFL, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, commercial banks and other creditors (NFL, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, commercial banks and other creditors (NFL, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, commercial banks and other creditors (NFL, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, commercial banks and other creditors (NFL, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, commercial banks and other creditors (NFL, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, commercial banks and other creditors (NTR, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, commercial banks and other creditors (NTR, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, commercial banks and other creditors (NTR, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, commercial banks and other creditors (NTR, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, commercial banks and other creditors (NTR, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, commercial banks and other creditors (NTR, current US$)",Economic Policy &  External Debt ,World Development Indicators
"PNG, commercial banks and other creditors (TDS, current US$)",Economic Policy &  External Debt,Global Development Finance
"PNG, commercial banks and other creditors (TDS, current US$)",Economic Policy &  External Debt,International Debt Statistics
"PNG, commercial banks and other creditors (TDS, current US$)",Economic Policy &  External Debt,World Development Indicators
"PNG, commercial banks and other creditors (TDS, current US$)",Economic Policy &  External Debt ,Global Development Finance
"PNG, commercial banks and other creditors (TDS, current US$)",Economic Policy &  External Debt ,International Debt Statistics
"PNG, commercial banks and other creditors (TDS, current US$)",Economic Policy &  External Debt ,World Development Indicators
"Point-of-sale terminals (per 100,000 adults)",Financial Sector,World Development Indicators
"Point-of-sale terminals (per 100,000 adults)",Financial Sector ,World Development Indicators
Population ages 0-14 (% of total),Education,World Development Indicators
Population ages 0-14 (% of total),Education ,World Development Indicators
Population ages 0-14 (% of total),Health,World Development Indicators
Population ages 0-14 (% of total),Health ,World Development Indicators
"Population ages 0-14, female",Education,Africa Development Indicators
"Population ages 0-14, female",Education ,Africa Development Indicators
"Population ages 0-14, male",Education,Africa Development Indicators
"Population ages 0-14, male",Education ,Africa Development Indicators
"Population ages 0-14, total",Education,Africa Development Indicators
"Population ages 0-14, total",Education ,Africa Development Indicators
Population ages 15-64 (% of total),Education,World Development Indicators
Population ages 15-64 (% of total),Education ,World Development Indicators
Population ages 15-64 (% of total),Health,World Development Indicators
Population ages 15-64 (% of total),Health ,World Development Indicators
"Population ages 15-64, female",Education,Africa Development Indicators
"Population ages 15-64, female",Education ,Africa Development Indicators
"Population ages 15-64, male",Education,Africa Development Indicators
"Population ages 15-64, male",Education ,Africa Development Indicators
"Population ages 15-64, total",Education,Africa Development Indicators
"Population ages 15-64, total",Education ,Africa Development Indicators
Population ages 65 and above (% of total),Health,World Development Indicators
Population ages 65 and above (% of total),Health ,World Development Indicators
"Population ages 80 and above, female",Health,Health Nutrition and Population Statistics
"Population ages 80 and above, female",Health ,Health Nutrition and Population Statistics
"Population by educational attainment, no-school, female (aged 0-4)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 0-4)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 10-14)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 10-14)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 15-19)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 15-19)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 20-24)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 20-24)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 25-29)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 25-29)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 30-34)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 30-34)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 35-39)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 35-39)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 40-44)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 40-44)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 45-49)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 45-49)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 5-9)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 5-9)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 50-54)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 50-54)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 55-59)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 55-59)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 60-64)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 60-64)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 65-69)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 65-69)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 70-74)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 70-74)",Education ,Education Statistics
"Population by educational attainment, no-school, female (aged 75+)",Education,Education Statistics
"Population by educational attainment, no-school, female (aged 75+)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 0-4)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 0-4)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 10-14)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 10-14)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 15-19)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 15-19)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 20-24)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 20-24)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 25-29)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 25-29)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 30-34)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 30-34)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 35-39)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 35-39)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 40-44)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 40-44)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 45-49)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 45-49)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 5-9)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 5-9)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 50-54)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 50-54)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 55-59)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 55-59)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 60-64)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 60-64)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 65-69)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 65-69)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 70-74)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 70-74)",Education ,Education Statistics
"Population by educational attainment, no-school, male (aged 75+)",Education,Education Statistics
"Population by educational attainment, no-school, male (aged 75+)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 0-4)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 0-4)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 10-14)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 10-14)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 15-19)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 15-19)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 20-24)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 20-24)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 25-29)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 25-29)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 30-34)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 30-34)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 35-39)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 35-39)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 40-44)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 40-44)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 45-49)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 45-49)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 5-9)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 5-9)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 50-54)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 50-54)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 55-59)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 55-59)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 60-64)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 60-64)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 65-69)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 65-69)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 70-74)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 70-74)",Education ,Education Statistics
"Population by educational attainment, primary, female (aged 75+)",Education,Education Statistics
"Population by educational attainment, primary, female (aged 75+)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 0-4)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 0-4)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 10-14)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 10-14)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 15-19)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 15-19)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 20-24)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 20-24)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 25-29)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 25-29)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 30-34)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 30-34)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 35-39)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 35-39)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 40-44)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 40-44)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 45-49)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 45-49)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 5-9)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 5-9)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 50-54)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 50-54)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 55-59)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 55-59)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 60-64)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 60-64)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 65-69)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 65-69)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 70-74)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 70-74)",Education ,Education Statistics
"Population by educational attainment, primary, male (aged 75+)",Education,Education Statistics
"Population by educational attainment, primary, male (aged 75+)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 0-4)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 0-4)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 10-14)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 10-14)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 15-19)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 15-19)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 20-24)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 20-24)",Education ,Education Statistics
